QcarIndex,PositionX,PositionY,PositionZ,RotationX,RotatinY,RotationZ
0,  -1.205, -0.83, 0.006,0, 0, -0.7803982524723775
1,  -1.735, -0.35, 0.006, 0, 0, -0.7803982524723775
2,  -1.95, 0.197, 0.006, 0, 0, -0.8853981633974483
3,  -1.939, 0.753, 0.006, 0, 0, -1.5707963267948966
4,  -1.975, 1.126, 0.006, 0, 0, -1.5707963267948966
5,  -1.973, 1.845, 0.006, 0, 0, -1.5707963267948966
