timestamp,observer_vehicle_id,vehicle_0_x,vehicle_0_y,vehicle_0_theta,vehicle_0_velocity,vehicle_1_x,vehicle_1_y,vehicle_1_theta,vehicle_1_velocity
1759504929.4109364,0,-1.205,-0.83,-0.7801621756414646,0.0,-0.2848246550559998,-0.05745742321014405,1.7671345739344357,0.0
1759504929.4223409,0,-1.205,-0.83,-0.7801621756414646,0.0,-0.5195836274558452,-0.10481514098532899,-3.0333484839004483,0.0
1759504929.4327667,0,-1.205,-0.83,-0.7801621756414646,0.0,-0.713804735681886,-0.14399519163611532,-0.7783573455053732,0.0
1759504929.4437022,0,-1.205,-0.83,-0.7801621756414646,0.0,-0.8747562334732352,-0.17646379349604166,1.1161580559052242,0.0
1759504929.4552479,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.008353605843657,-0.20341427207220747,2.7163118188326987,0.0
1759504929.466698,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.119539043098465,-0.2258436109996904,-2.2073624941921506,0.0
1759504929.4769654,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.2124479532977184,-0.24458604245198934,-0.09753048610710179,0.0
1759504929.4877894,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.2902002798019951,-0.26027094981596444,1.695147514923277,0.0
1759504929.498379,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.3554415185165254,-0.2734320066171665,-3.056988327906544,0.0
1759504929.5084884,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.410346039807192,-0.2845078466469839,-0.8336465433567148,0.0
1759504929.519225,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.4566112942610048,-0.29384089509587985,1.067831762655856,0.0
1759504929.5303793,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.495662403129409,-0.30171864040074525,2.7023206329217357,0.0
1759504929.5406604,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.5287434689389299,-0.30839205425280997,-2.1686222010599936,0.0
1759504929.5509634,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.5568270812209417,-0.31405733626935417,-0.08611137850813998,0.0
1759504929.5610259,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.58072829513306,-0.3188789067991763,1.7141186393974357,0.0
1759504929.5710726,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.6011132678996416,-0.3229911491440199,-3.0054442382589133,0.0
1759504929.5815258,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.6185247255483202,-0.3265035469405833,-0.8229766247688388,0.0
1759504929.5916014,0,-1.205,-0.83,-0.7801621756414646,0.0,-1.6334371787588842,-0.32951182280438585,1.0754572807160347,0.0
1759504929.6112223,0,-1.2050000425577163,-0.8299997470180194,-0.7229992571235471,0.0,-1.646041824033641,-0.33205454663502837,2.7378693565608025,0.0
1759504929.6217349,0,-1.205000042795803,-0.8299997456027273,-0.7181170865073057,0.0,-1.656895109885907,-0.33424397029398695,-2.081955254389293,0.0
1759504929.6320076,0,-1.2050000428705006,-0.8299997451586908,-0.7176584280225278,0.0,-1.6662637772132491,-0.3361339031842289,-0.03335783505931708,0.0
1759504929.6429563,0,-1.2050000428982601,-0.829999744993676,-0.7175949474705163,0.0,-1.6743581607240268,-0.33776677593856447,1.7710092292709823,0.0
1759504929.653844,0,-1.2050000429088212,-0.8299997449308965,-0.7175869734139102,0.0,-1.6813672969495577,-0.33918072272757643,-2.914872083994484,0.0
1759504929.6648993,0,-1.205000042912853,-0.8299997449069307,-0.717593886125087,0.0,-1.687447715205223,-0.34040732007021784,-0.780820191209181,0.0
1759504929.6756468,0,-1.2050000429143926,-0.8299997448977774,-0.7176062312051652,0.0,-1.6927365745234844,-0.3414742369355732,1.1111554367010934,0.0
1759504929.6859176,0,-1.2050000429149808,-0.8299997448942812,-0.7176191796280129,0.0,-1.697385551325901,-0.3424120708726602,2.7949366173461296,0.0
1759504929.6964731,0,-1.2050000429152055,-0.8299997448929457,-0.717629728911465,0.0,-1.701523140680052,-0.3432467430766676,-1.9896834390593745,0.0
1759504929.7067761,0,-1.2050000429152912,-0.8299997448924357,-0.7176389441096962,0.0,-1.7052055952052463,-0.34398960133823414,0.035190017919312554,0.0
1759504929.7170591,0,-1.205000042915324,-0.8299997448922408,-0.7176465390466795,0.0,-1.7084829797326693,-0.3446507451910284,1.837327394630344,0.0
1759504929.7277188,0,-1.2050000429153365,-0.8299997448921663,-0.7176524366195913,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.7381349,0,-1.2050000429153414,-0.8299997448921379,-0.7176577037426526,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.748611,0,-1.2050000429153431,-0.829999744892127,-0.7176621035042814,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.7594059,0,-1.2050000429153438,-0.8299997448921229,-0.7176656215867041,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.7697737,0,-1.205000042915344,-0.8299997448921214,-0.717669009086789,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.7811935,0,-1.2050000429153442,-0.8299997448921207,-0.7176712638358183,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.7923756,0,-1.2050000429153442,-0.8299997448921205,-0.7176735494775298,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8054588,0,-1.2050000429153442,-0.8299997448921204,-0.7176747001508019,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
