time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779267635.1865394,-705345.9810381769,-179136.61508477526,-2.89288266449627,2512651.5893134424,-0.00024304461517312716,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.1968079,-554933.5793283453,-140936.64004736362,-2.89288266449626,1869233.2378003045,-0.00030380576896640903,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.20758,-429435.9217333866,-109064.21907082052,-2.8928826644963705,1339554.0958180358,-0.00010633201913824298,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2175708,-339596.1113104883,-86247.75928089554,-2.892882664496343,961511.2123141799,-0.00020127132194024588,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2277918,-265400.15492167545,-67404.34178525988,-2.892882664496699,656186.9241773498,-2.943118386862063e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2381365,-206177.13196601684,-52363.57405046275,-2.8928826644971313,416526.01756254816,-0.00014359569548802912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2485225,-159316.9784696349,-40462.58268623684,-2.8928826644987007,231266.2690105207,1.3825535970541939e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2591732,-122409.76780783113,-31089.322835552604,-2.8928826645048233,89196.63510186686,-0.00011115315560865724,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2692864,-94106.27614273602,-23901.1344761118,0.24870998914992049,15993.787895299627,3.8157440880070686e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.2796571,-71177.75121056032,-18078.017032978587,0.24870998910379116,97453.48990043618,-9.29042269265108e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.290069,-53087.83731745629,-13483.753187078635,0.24870998910024378,158081.52385772686,5.18441373916805e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3005037,-38965.117684927565,-9897.030740697443,0.2487099890989537,202066.05742210196,-8.263920454280345e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3110363,-27818.58675380201,-7066.165742297126,0.24870998909828534,233381.04951780694,5.954290417946102e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3213203,-19335.41562107537,-4911.709581590175,0.24870998909789233,253909.18235580987,-7.686512945196806e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3314245,-12866.791622613116,-3268.8844391280422,0.2487099890974438,266667.2452600334,6.38734604975876e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3415945,-7791.912049069687,-1980.0261347399774,0.24870998909712316,273782.94994969486,-7.361721221337308e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3518114,-3872.616554628306,-984.6495012346443,0.24870998909688513,276523.25463006215,6.630939842653384e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3618543,-883.4405814931847,-225.49369853665132,0.2487099890967066,275871.69452752185,-7.179025876666341e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3720348,1379.2325565672238,349.15344763452214,0.24870998909656494,272722.9436543985,6.767961351156608e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.38216,3110.812275534975,788.9197254651785,0.24870998909645214,267681.1469245431,-7.076259745288923e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.3928292,4381.632547472156,1111.667731033886,0.2487099890963549,260820.7475590395,6.845035949689673e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.4031858,5279.644371238086,1339.734225956397,0.24870998909627806,253292.12902827677,-7.018453796389124e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.413205,5986.437316675935,1519.2371962246993,0.248709989096215,245228.1357969369,6.888390411364522e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.423785,8483.511009748665,2153.4146420915968,0.24870998909620257,243715.5096921121,-6.985937950132987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.434081,10912.468111507287,2770.292636195953,0.24870998909619013,242235.01380478684,6.912777296056634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.444301,13309.653258754333,3379.1015624877236,0.24870998909617814,240764.95337271778,-6.967647786613885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.4548686,15781.921078995092,4006.9791041431577,0.24870998909616526,239239.59189322172,6.92649491869597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.465201,18220.17157128782,4626.217324414836,0.24870998909615283,237725.62702933446,-6.957359569634383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.4757895,20625.578075463192,5237.114214370871,0.24870998909614084,236222.54387372424,6.934211081430595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.485924,22963.918182025496,5830.978368424958,0.24870998909612885,234752.0715157898,-6.951572447583414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.4965408,25374.00942480723,6443.0650332651,0.24870998909611686,233226.9846535373,6.938551422968817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.5068064,27653.378112593076,7021.952319058275,0.24870998909610487,231775.18626816673,-6.948317191429752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.5171018,29958.888208372264,7607.478692595834,0.24870998909609332,230297.53953474367,6.940992865084065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.527605,-54381.16395842331,-13812.217096351927,-2.892882664480106,80072.47278242554,-6.946486109843316e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.5376985,-42131.76865501263,-10701.259558904858,-2.8928826644658936,32844.50865940178,6.942366176273892e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.548155,-32207.317175712786,-8180.763945055061,0.24870998891132245,4158.383650392891,-6.945456126450947e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.5582466,-24575.584438718324,-6242.5461070423635,0.2487099890752531,31390.850624398983,6.943138663818168e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.5690684,-18110.93292499805,-4600.729849550191,0.24870998908578779,53260.5568724277,-6.944876760792739e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.579438,-13302.331272781368,-3379.4976838785756,0.24870998908925257,68266.32217877543,6.943573188061825e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.5900974,-9463.859529394864,-2404.647717280321,0.24870998909106623,79166.6408107558,-6.944550867609996e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.6007323,-6500.214296461539,-1651.9759120721983,0.24870998909214537,86462.72123879592,6.943817607948877e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.6110806,-4260.389367401534,-1083.131485630039,0.24870998909283948,90871.76641344173,-6.944367552694721e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.6212173,-2570.377616981201,-653.9221521789207,0.24870998909332354,93265.56162176674,6.943955094135319e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.6316276,-1224.0400333023997,-311.99514679116845,0.2487099890936979,94180.15221006148,-6.944264438054894e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.642552,-256.98350580666545,-66.39348901429369,0.24870998909374142,93677.13850707359,6.94403243011519e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.652439,671.2683134674327,169.35300476982025,0.24870998909378317,93191.71641642826,-6.944206436069989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.6632257,1628.1108227382892,412.3606261722077,0.24870998909382624,92688.73667408194,6.944075931603869e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.6733484,2551.002197495725,646.745737222013,0.24870998909386755,92200.97129916705,-6.944173809953477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.6841314,3503.936244265049,888.7607332272703,0.24870998909391018,91694.6634139451,6.944100401191258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.69483,4443.96696213253,1127.4986933209866,0.24870998909395237,91192.45344614144,-6.944155457762934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.7053092,5375.456397621154,1364.0674388423329,0.2487099890939941,90692.06603276967,6.944114165334165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.7152846,6267.820807198145,1590.699669846461,0.24870998909403452,90210.051326497,-6.944145134655754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.7262826,-8756.474652486537,-2224.994415091464,0.24870998910121855,32908.85926023161,6.94412190766455e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7367666,-6356.127945265365,-1615.3825529461424,0.24870998909913355,40182.51896481999,-6.944139327907966e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.746801,-4557.331936190405,-1158.5454712809062,0.24870998909805353,45045.74914567405,6.94412626272539e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7574475,-3077.5105028978232,-782.7178056867759,0.24870998909734698,48512.66079500321,-6.944136061612336e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7674913,-1988.9988421746916,-506.270399791759,0.24870998909691844,50506.859080198985,6.944128712447112e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7778642,-1121.1523432193862,-285.86493974206394,0.248709989096616,51581.93073864566,-6.944134224321035e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7886794,-443.38009247244145,-113.7323046338112,0.24870998909639885,51899.48474561278,6.944130090415606e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.7987397,53.532900114411504,12.467820466151682,0.24870998909626518,51627.874438652085,-6.944133190844656e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.809327,438.399380550473,110.21168851213007,0.2487099890961706,50893.96073273177,6.94413086552289e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.8200302,725.4976100986441,183.12552458682805,0.24870998909611242,49810.93559685549,-6.944132609514194e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.830036,928.8869592515018,234.7799624661831,0.24870998909608577,48600.757826697416,6.944131301520737e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.840687,1071.133451822101,270.90605581676954,0.24870998909607778,47132.389979609354,-6.944132282515807e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.8509274,1168.093885230909,295.530927793104,0.248709989096088,45639.8575742371,6.944131546769524e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779267635.8610153,1619.6561685983872,410.2134124590933,0.24870998909615505,45463.34250507784,-6.944132098579223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.871172,2067.3813540472142,523.9213960663991,0.24870998909622122,45287.64784181269,6.94413168472196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779267635.8816462,2529.9740788681115,641.4052626889081,0.24870998909629005,45105.41466725068,-6.944131995114894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
