time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779266913.4696226,274923.68376836163,64686.805580966575,0.23109066719589721,975145.6822319014,-0.00024304461517312784,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.4796996,217554.08740324999,51188.07702446806,0.23109066719588967,730688.1024444754,-0.00030380576896640974,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.4897923,171695.9177844446,40397.91946712064,0.23109066719600335,537081.5366290053,-0.0001063320191382437,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5002716,133712.61218859866,31460.671091613505,0.2310906671959172,379466.7310451959,-0.00020127132194024653,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5101724,105644.72955247956,24856.4634124822,0.2310906671953581,263632.5924312693,-2.9431183868621253e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5204616,82204.01567450924,19341.00132352987,0.23109066719473237,169147.44844474137,-0.0001435956954880297,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5306268,63961.0211389235,15048.532020985083,0.23109066719208426,97078.39171795093,1.382553597054137e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5409715,49228.24974141202,11581.99757447356,0.23109066718396942,40468.257828040834,-0.00011115315560865775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5516033,37294.51230281541,8774.059353624536,-2.910501986270683,3820.1374771921196,3.815744088007033e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5618277,28378.881895823128,6676.263963741974,-2.9105019863810058,35459.65434976187,-9.290422692651103e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5718825,21422.946639926442,5039.573315294285,-2.91050198638642,58810.55720960059,5.1844137391680376e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5819993,15911.577678825686,3742.780618563772,-2.9105019863883554,76049.68646757015,-8.26392045428035e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.5924954,11428.669446009351,2687.9786814300187,-2.910501986389372,88837.03021444859,5.954290417946102e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.6027575,8021.90889920679,1886.3879645350519,-2.910501986389962,97325.97924638995,-7.686512945196792e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.6130176,5347.100387375994,1257.0212558688704,-2.910501986390356,102752.23648563269,6.387346049758789e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.6237066,3221.612483031947,756.9064548469306,-2.910501986390647,105935.03524838804,-7.361721221337268e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266913.633632,1672.2317850649026,392.3462906195369,-2.910501986390849,107117.06734452704,6.630939842653431e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
