time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779271572.7477164,-179135.24445399764,34830.92429502249,2.9495446363490636,630084.0716397456,0.00024304461517312716,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.7582586,-139785.10786759778,26242.651884315248,2.947308524511901,464687.9775926792,0.00030380576896640903,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.7688031,-108961.42595745626,19776.781685376733,2.9417712075151847,336143.5679087458,0.00010633201913824298,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.7788086,-86009.16812176882,15146.232428580019,2.931895216855125,241490.93488321974,0.00020127132194024588,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.7890134,-67321.96056613262,11531.207524358922,2.9137625799295392,165796.5259734738,2.9431183868620724e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.7991872,-52549.31900181502,8787.331384335022,2.8799858592715273,107239.4668054443,0.00014359569548802936,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8095322,-40645.91155286724,6660.726567728068,2.805574395259443,61341.29749344617,-1.3825535970541587e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8200142,-31138.484311112064,5026.926476131319,2.5682655403911934,26685.383823894943,0.00011115315560865763,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8304553,-23709.303106264684,3798.9419103353966,1.168963370930678,11052.385872214152,-3.815744088007039e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8413084,-17688.16693628497,2833.9797409179587,0.2639137068931996,26106.58278311292,9.290422692651103e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8516757,-13398.21446514635,2146.462242409203,0.06598390776853336,40396.861513727155,-5.1844137391680336e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.862063,-10152.858216378938,1626.3535334746116,2.970331291473074,619866.141181884,8.263920454280353e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8724456,-12560.822767613054,1230.6358506543838,-1.5708084786910805,96344240496.24506,-5.954290417946099e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.883158,-18751.96564246828,-768494622.3712246,-1.5708038209062276,215621479270.07098,7.686512945196804e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.8935683,-26981.61508542759,-2288906783.378662,-1.5708021640557814,331277851747.77234,-6.387346049758762e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9041154,-47375.86006750101,-5782710706.940962,-1.570801153918678,450372788640.4105,7.361721221337306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271572.9146397,-70330.8409710035,-10538126549.542137,-1.570800370243037,569607726365.1735,-6.630939842653385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271572.9247167,-93546.56747216171,-16279693077.640705,-1.570799721508518,683433785867.3826,7.17902587666634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271572.935126,-3025.232793537638,-600893247.9795799,-1.5707988748898984,721417105619.4792,-6.76796135115661e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9455552,-16377.544979143768,-5983250768.362632,-1.57079829603319,829604511978.212,7.076259745288922e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9555538,-25508.77298955221,-11167149731.831322,-1.5707977279792138,935530023466.3529,-6.845035949689674e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9656744,-29596.954385389086,-15751245936.391735,-1.570797183476233,1033677741792.298,7.018453796389109e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.976408,-29186.17655485148,-19990770088.852905,-1.5707966215296976,1130925802974.028,-6.88839041136455e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9868164,-24726.079310425266,-24103593979.776115,-1.570796065967817,1223709605070.6467,6.985937950132947e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271572.9973438,-18636.490276601955,-27920918652.337982,-1.5707955036830308,1312871644204.3271,-6.912777296056672e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.0075967,-14166.27531041799,-31414842668.92788,-1.5707949516195847,1395396318371.484,6.967647786613857e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.017965,-10731.085554810203,-34776512104.98886,-1.5707943798280457,1475968746633.7888,-6.926494918695989e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.0284452,-10731.032954903281,-50303675843.32205,-1.5707938607036003,1596796274012.0898,6.957359569634373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.038853,-10730.981003494895,-66894838911.43425,-1.5707933560399652,1716134131938.4592,-6.934211081430599e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.0491962,-10730.92932030741,-84633895329.34378,-1.5707928605868366,1834855858198.0671,6.951572447583416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.0595405,-10730.877196045554,-103761996773.40424,-1.5707923667349915,1954590778753.863,-6.938551422968817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.0699337,-10730.826510639823,-123575842105.16968,-1.5707918902496383,2071020495213.2175,6.948317191429752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.0803273,-10730.773870201743,-145379727333.0228,-1.5707914002815184,2191941126931.6882,-6.940992865084065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.09072,-10730.721505137122,-168335955084.17288,-1.5707909160360443,2312229196805.5303,6.946486109843316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.1012907,-10730.668521376288,-192838074835.08133,-1.5707904291878971,2433938477056.943,-6.942366176273892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.1118255,-10730.616144390739,-218334546923.08237,-1.5707899500585543,2554253930559.9785,6.945456126450947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.1223135,-10730.563360901511,-245299033888.0318,-1.5707894694731641,2675503165833.127,-6.943138663818168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779271573.1328635,18188.576425994703,462978503488.8563,-1.5707150975516937,253458447445.5292,6.944876760792742e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.1433816,13713.106948705296,347036217875.1294,-1.5707672193036046,785070647445.0472,-6.943573188061804e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.1537418,10390.156758766072,256790348330.92047,-1.5707754015835864,1203362499963.049,6.944550867610029e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779271573.163731,7962.488208156903,187510026982.28687,-1.570778315403694,1529842448277.265,-6.943817607948839e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
