time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779285906.431507,-74641.87920322719,68420.08748118556,2.3996453855838755,349601.91858667973,-0.00024304461517312784,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.4419632,-58393.166011422916,51692.838894612825,2.3938381887056757,259901.78614248062,-0.00030380576896640974,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.452253,-45825.77689766992,39242.09851219605,2.380120163868595,191923.05175358703,-0.0001063320191382437,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.4626472,-35774.19842669408,29699.575423105758,2.3544721734794383,139041.06692512945,-0.00020127132194024653,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.4731057,-27801.411399538792,22433.971997463323,2.3101639679895545,98329.20316382482,-2.9431183868621253e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.4832835,-21697.568481376482,17091.46784149523,2.238007062902752,68326.27405830802,-0.0001435956954880297,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.4940617,-16567.153690743187,12783.090195484572,2.102769311518486,44540.43362223921,1.382553597054137e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.504275,-12786.589783926787,9729.698020879528,1.8694505389476186,28837.878923683093,-0.00011115315560865775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.5145602,-9783.89827877628,7395.068843374958,1.4506339032329123,19443.59905227887,3.815744088007033e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.5246034,-7483.825976065345,5656.31258339206,0.9043981694851908,16747.39306057861,-9.290422692651103e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.5346565,-5724.910527375376,4326.647490703927,0.4626573759442705,15122.668952159052,5.1844137391680376e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779285906.5451038,-4326.3409641625985,3269.3870336875507,-0.9727383267430776,383827.6578341593,-8.26392045428035e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
