time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779978920.9726865,1.642661690711975,-0.9883184432983398,0.0,0.0,0.0002430446151731277,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978920.9830968,1.6426616708854453,-0.9883184432983398,-3.141592653589793,3.172244760207832e-07,0.0003038057689664096,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978920.9934533,1.642661629958843,-0.9883184432983398,-3.141592653589793,9.315021629324608e-07,0.00010633201913824355,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0037277,1.642661400776306,-0.9883185020371457,-2.9347806780121055,4.576882049212546e-06,0.00020127132194024643,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0141854,1.6426611817767718,-0.988318551190368,-2.928102362207352,7.574220428980138e-06,2.943118386862117e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0243382,1.6426609397280338,-0.9883186012588466,-2.9316206955471467,1.0570513996582635e-05,0.00014359569548802966,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.034667,1.642660341175307,-0.9883187669137818,-2.9004468572441713,1.913745263327119e-05,-1.3825535970541397e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0452254,1.6426598115066502,-0.988318914850273,-2.8895931421240446,2.543688696603776e-05,0.00011115315560865774,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0559108,1.6426592577144035,-0.9883190702727773,-2.8831512936740418,3.121187802618844e-05,-3.815744088007039e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0660846,1.6426587208794108,-0.9883192216543899,-2.8790206782410084,3.609725785560379e-05,9.290422692651082e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0763853,1.6426581780573877,-0.9883193754506889,-2.8759205745089518,4.038835774606197e-05,-5.1844137391680715e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.086705,1.642657636568087,-0.9883195295156619,-2.873478408878167,4.401217054547828e-05,8.263920454280307e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.0970135,1.6426571107912127,-0.9883196798171852,-2.8714654243569586,4.692130631246767e-05,-5.954290417946152e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.1072621,1.6426566083037033,-0.9883198241351943,-2.8697465953985386,4.9109146450382346e-05,7.686512945196747e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.117319,1.6426561273713398,-0.988319962805626,-2.8682441382385075,5.0609381177298245e-05,-6.387346049758821e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779978921.1278665,1.6426556071096017,-0.9883201087027128,-2.8681279239416293,5.22576495906508e-05,7.36172122133725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779978921.1384315,1.642655071454329,-0.9883202589815847,-2.868019061423281,5.390210314163702e-05,-6.63093984265344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779978921.148574,1.6426545295199948,-0.9883204110832209,-2.8679184723253197,5.551633234013493e-05,7.179025876666284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779978921.1588666,1.642653975085686,-0.9883205667514076,-2.8678241339719075,5.712064917857298e-05,-6.767961351156665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779978921.1690063,1.6426534053169795,-0.988320726781375,-2.8677350168573135,5.872373206187651e-05,7.076259745288866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779978921.1794171,1.6426528060808792,-0.9883208951444828,-2.867648739684159,6.036384846816628e-05,-6.84503594968973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
