time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779266955.1221397,661806.6647698348,154254.569694052,0.22899423420849851,2346257.369371041,-0.00024304461517312697,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.1332536,507713.3401345442,118338.08049333416,0.22899423420847675,1696570.0331581428,-0.00030380576896640887,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.143463,400366.7992279773,93317.45817680331,0.2289942342085709,1241603.149644565,-0.00010633201913824283,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.1534326,316248.47634600004,73710.93179077929,0.22899423420859844,890532.4488830026,-0.00020127132194024572,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.1640887,244218.5008869416,56921.99014245366,0.2289942342087894,597003.0289713693,-2.9431183868620494e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.17462,189045.82914519243,44062.19447337758,0.2289942342094209,374663.7375178396,-0.000143595695488029,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.1848261,146878.63134901266,34233.74987433437,0.2289942342111524,208675.3940942079,1.382553597054202e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.1951587,112990.84812363883,26335.093633955803,0.22899423422040632,78938.86805402079,-0.00011115315560865713,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2051883,87064.7221029077,20292.16200515652,-2.9125984194538206,16721.31442128242,3.815744088007094e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2154832,65981.29840978804,15377.980542925374,-2.9125984193967875,91181.48995434411,-9.290422692651044e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2259998,49036.74475169461,11428.498111399562,-2.9125984193917867,147668.02228518782,5.184413739168096e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2367382,35717.15481293542,8323.932035494345,-2.9125984193899517,189023.9417142969,-8.263920454280294e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2468886,25784.873503193867,6008.889023484182,-2.912598419389057,216358.4056000926,5.954290417946159e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2570374,18026.20784539995,4200.478231092551,-2.912598419388505,235108.38854049557,-7.686512945196746e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.2677104,11739.639253407084,2735.1878074160472,-2.9125984193881203,247369.36627431787,6.387346049758814e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.27807,9201.23056201183,2143.5286387632405,-2.9125984193880994,245899.61953081994,-7.361721221337267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779266955.2887187,6672.194183780059,1554.0539942311227,-2.912598419388079,244426.54711699684,6.63093984265341e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779266955.2990067,4220.113814337155,982.5164645288875,-2.912598419388059,242989.69125301467,-7.179025876666325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779266955.309408,1720.8927189465294,399.9912468240841,-2.9125984193880385,241516.55232578507,6.767961351156616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779266955.3199792,-715.9583006258522,-167.99658478824222,-2.912598419388019,240071.41554269326,-7.07625974528892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779266955.330239,1456.5713614992746,338.38250921675717,-2.9125984193855916,222401.75164023254,6.84503594968967e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.3412862,-618.4929664165577,-145.27910102604852,-2.912598419385786,220298.56199784472,-7.018453796389125e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.3516686,-2196.7385758061973,-513.1408595881894,-2.912598419385922,216417.40035751348,6.888390411364521e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.3619037,-3352.7158693478796,-782.5791761149218,-2.9125984193860215,211353.93739035822,-6.985937950132988e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.3726592,-4147.241352270448,-967.7693262598393,-2.9125984193861005,205110.38537055044,6.912777296056623e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.3827894,-4716.765716435053,-1100.5156066218308,-2.9125984193861547,198709.91447192949,-6.967647786613912e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779266955.392896,-5099.587638870934,-1189.744776507588,-2.912598419386194,191946.61289832275,6.926494918695932e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
