time,x,y,theta,velocity,acceleration,x_gps,y_gps,theta_gps,steering,throttle,v_ref,gps_valid
1779269319.1390963,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.1494398,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.1599357,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.1701875,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.1804385,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.1908183,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2013793,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2119017,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2227163,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2329955,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.24348,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2536564,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2641604,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2747056,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.285308,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.2955463,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.3057463,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.3162076,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.3264577,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3364723,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3470213,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3572235,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3674555,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3779986,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3886342,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.3990223,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.4096222,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1779269319.419932,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.430555,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.4409485,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.4513528,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.4616432,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.4722757,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.4823515,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779269319.49289,-1.27462899684906,-0.4552497863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
