time,x_vec_p1,x_vec_v1,x_vec_a1,x_vec_p2,x_vec_v2,x_vec_a2,x_vec_p3,x_vec_v3,x_vec_a3,dynamics_p1,dynamics_v1,dynamics_a1,dynamics_p2,dynamics_v2,dynamics_a2,dynamics_p3,dynamics_v3,dynamics_a3,measurement_p1,measurement_v1,measurement_a1,measurement_p2,measurement_v2,measurement_a2,measurement_p3,measurement_v3,measurement_a3,consensus_p1,consensus_v1,consensus_a1,consensus_p2,consensus_v2,consensus_a2,consensus_p3,consensus_v3,consensus_a3,local_meas_rel_pos,local_meas_vel,est_meas_rel_pos,est_meas_vel,meas_err_rel_pos,meas_err_vel,neighbor_count,consensus_norm,collective_control_1,collective_control_2,collective_control_3,fleet_x_0,fleet_v_0,fleet_x_1,fleet_v_1,fleet_x_2,fleet_v_2,fleet_x_3,fleet_v_3,dt,position,velocity,acceleration,control_input,local_measurement_p,local_measurement_v,true_position_0,true_velocity_0,true_acceleration_0,true_throttle_0,true_position_1,true_velocity_1,true_acceleration_1,true_throttle_1,true_position_2,true_velocity_2,true_acceleration_2,true_throttle_2,true_position_3,true_velocity_3,true_acceleration_3,true_throttle_3
1779459051.3015552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.233520215686739,-0.6519871615307051,-0.11797120253885769,-0.7831614449019331,-0.3439067782219699,-0.004198696291572249,-0.6640570738018221,-0.2714768622610897,-0.011570226656130991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.901705186266808,-0.005049981061841537,-0.7950829733141316,-0.004917026685868431,-0.10662221295267638,-0.00013295437597310618,2,0.0,0.0,0.0,0.0,0.0,0.0,5.999881216124062,0.007707107109750537,0.0,0.0,0.0,0.0,0.37067103385925293,5.9972070971001035,-0.007214258659773625,0.0,0.0,-0.901705186266808,-0.005049981061841537,7.50004907421145,-0.004917026685868431,0.0,0.0,5.9972070971001035,-0.007214258659773625,0.0,0.0,4.499616338351742,-0.0016781226427223603,0.0,0.0,2.9995016422980862,-0.0041530778759066985,0.0,0.0
1779459051.3431773,-0.45723021363489225,-0.24167275522754622,-0.04372850761069771,-0.29029526246050585,-0.1274762810347424,-0.0015563350952580968,-0.24614672208767163,-0.10062860920318412,-0.004288747876613961,-0.2854012628382439,-0.04372850761069771,1.976530216261351,-0.1727611237406982,-0.0015563350952580968,0.8343905050298568,-0.1502021997857539,-0.004288747876613961,0.7354704283899612,-0.06416583712438696,-0.1552380691346392,1.0813757346807558,0.03499806521827814,0.07843887224361255,0.023712821589137293,-0.22112041418678,-0.0338252469704044,0.013101419274984967,-5.205180282581112,-2.765237487133098,0.022379911419171766,-9.246270923088485,-4.180964623392968,-0.13201578036616302,-10.154713326954349,-4.373837021161889,-0.5097668756394713,-1.2623260115385002,-0.014544778542536425,-1.0084009165677037,-0.2488292970671886,-0.2539250949707965,0.23428451852465218,2,16.131983003776785,0.27251632699111844,0.13194614570951899,0.11338652066577984,0.0,0.0,6.489408642489972,-0.24658978191341466,5.98873690138497,-0.13239330772061084,5.338431077646856,-0.10554563588905255,0.010487556457519531,5.99709749033072,-0.018613977462834237,0.0,0.0,-1.2623260115385002,-0.014544778542536425,7.499837385383682,-0.007156541839642365,0.0,0.0,5.99709749033072,-0.018613977462834237,0.0,0.0,4.500105625335157,-0.02481112958161922,0.0,0.0,2.996216715519159,0.0008785752801441169,0.0,0.0
1779459051.3848078,-0.40630669624630483,-0.21475884416956453,-0.011893256892930262,-0.19476927198710858,-0.08282186855107605,0.00882759493891756,-0.14354285963930258,-0.055157469180539466,0.008908150526724164,-0.22665210106249478,-0.011893256892930262,1.5889169389603561,-0.08588753050508875,0.00882759493891756,0.4282094556991434,-0.049314980607828005,0.008908150526724164,0.27548470869862957,-2.190210473135476,-1.2713567064699287,0.8097450392357852,-1.3195833434826751,-0.5203545159000503,0.01497313882453729,-1.3539439967758748,-0.500494125575508,-0.007701171196025718,-5.917086111088292,-3.053734357756575,-0.49051588250524764,-3.7612916653638804,-1.7465374262137103,-0.3872407795648407,0.6337411193056366,0.3878160468797522,0.013719732138077336,-1.406486820070918,-0.002574517463465574,-0.984391310237098,-0.2219153860092069,-0.42209550983381994,0.21934086854574134,2,7.904282897441864,0.24233345334072673,0.07734110785078051,0.0529857039185049,0.0,0.0,6.515446075146584,-0.2219153860092069,6.016961909796499,-0.08997841039071841,5.330502333164485,-0.06231401102018183,0.010427713394165039,5.997243359624485,0.0025555944275647913,0.0,0.0,-1.406486820070918,-0.002574517463465574,7.499837385383682,-0.007156541839642365,0.0,0.0,5.997243359624485,0.0025555944275647913,0.0,0.0,4.499892870569466,0.018091238253760935,0.0,0.0,2.9962383079016854,0.015240702259711492,0.0,0.0
1779459051.427684,-0.3698073683881019,-0.196296740335985,0.018234261783230708,-0.17020344796662337,-0.06994353296351921,0.01748701187972816,-0.1647841128314655,-0.06432762142345948,0.011557455072896378,-0.17806247855275428,0.018234261783230708,1.2684962754262477,-0.034222259300560345,0.01748701187972816,0.28862062602097904,-0.01704889268760423,0.011557455072896378,0.36217199914203624,-3.284909177928716,-1.838474403529456,0.6020184974715374,-2.021782458124332,-0.8346839450440093,0.008979700814197427,-1.9255909768018267,-0.7395520079708541,-0.019267535618501454,-5.475635655139381,-2.8351055179540054,-0.22945147020772066,-3.258542098550571,-1.495437291425097,-0.2638667706593998,0.02823409037671014,0.11846343087178554,-0.0003606035292623105,-1.4641006869074669,-0.0018675172388423556,-0.9709139604706074,-0.19889340791749452,-0.49318672643685946,0.19702589067865217,2,7.142264553666789,0.22119366585143035,0.0636663120430848,0.06950497493562217,0.0,0.0,6.533483299171207,-0.20345328217562736,6.0101872943958465,-0.07710007480316158,5.287090792794107,-0.07148416326310184,0.01055145263671875,5.997361844526119,-0.0015645171425752618,0.0,0.0,-1.4641006869074669,-0.0018675172388423556,7.499871775991285,-0.0025966675815095245,0.0,0.0,5.997361844526119,-0.0015645171425752618,0.0,0.0,4.500213973019847,-0.002157096765262329,0.0,0.0,2.996157277589186,-0.009403035156556891,0.0,0.0
1779459051.4802852,-0.348570839532634,-0.18558843638628283,0.040391956136066665,-0.15751493174579198,-0.06278711194701905,0.02341130536601813,-0.18557969607193542,-0.07325898274817837,0.015179400169744051,-0.14519648025021617,0.040391956136066665,1.0534296267672167,0.0010161495550657408,0.02341130536601813,0.20534629329638324,0.005723678923650475,0.015179400169744051,0.4321833092977688,-3.8023190777601656,-2.108018706517912,0.5172448075132685,-2.3527434367758535,-0.9820642394463814,0.006441956795377575,-2.1980805957636966,-0.852785769080452,-0.02456543049310657,-4.635625163670423,-2.391732979620888,-0.1731633950471651,-0.8466501911575234,-0.3918203157587917,-0.043481840032379794,1.0795698387227513,0.5602426181472764,-0.15372608710996652,-1.4869933948592167,-0.0020604540445999407,-0.9571430097681496,-0.19142782976448447,-0.5298503850910671,0.18936737571988452,2,5.441929600740203,0.20894069641882135,0.05626671229343944,0.08432872965738707,0.0,0.0,6.539486040426444,-0.18818510396779237,5.995925727741815,-0.06538377952852857,5.243716613745358,-0.07585565032968788,0.010570049285888672,5.997499660486017,-0.002143141247067477,0.0,0.0,-1.4869933948592167,-0.0020604540445999407,7.499754860646401,-0.005839393378201646,0.0,0.0,5.997499660486017,-0.002143141247067477,0.0,0.0,4.50028827299877,0.0030659864268077364,0.0,0.0,2.9966938649018457,0.0116734576500864,0.0,0.0
1779459051.5357141,-0.341297487086714,-0.1821626175693626,0.05882440793865705,-0.17342367083024288,-0.0687785606595274,0.026109522799843538,-0.220164123138052,-0.08803431543561081,0.021112833555797888,-0.12333820963070556,0.05882440793865705,0.9132362376330205,0.016155370078973195,0.026109522799843538,0.24297375217398434,0.01801244885868766,0.021112833555797888,0.5287801782980426,-3.991655319123298,-2.2018221722788196,0.4429184064634049,-2.4768681357628415,-1.039831061850301,0.004560368678500872,-2.2903633889023673,-0.8934368977446441,-0.027049762830487857,-4.204113072836086,-2.1755667278725697,0.026171569678935327,-1.0842837340308877,-0.49156628433762456,-0.1762737608102764,1.7078811267322402,0.8508082498092606,-0.0854181775299589,-1.495831889251702,-0.0016064953802734903,-0.9624556628808413,-0.17884182420587275,-0.5333762263708607,0.17723532882559925,2,5.244497327700032,0.20494220595994034,0.06498532314768103,0.1057176620834847,0.0,0.0,6.5464593845072505,-0.18800201094756425,5.988951154801452,-0.07461795403772904,5.236084411307454,-0.09387370881381246,0.020637035369873047,5.998141565912724,-0.0014119416669907258,0.0,0.0,-1.495831889251702,-0.0016064953802734903,7.499865784759416,0.0033207933634898656,0.0,0.0,5.998141565912724,-0.0014119416669907258,0.0,0.0,4.500097484697392,-0.0005247978207236811,0.0,0.0,2.9966938649018457,0.0116734576500864,0.0,0.0
1779459051.569609,-0.33945832390334507,-0.18149049071698423,0.08627131568674329,-0.20182908544058553,-0.0795542971196012,0.03485566104374892,-0.30230431308040956,-0.12359465794656094,0.03322983983685877,-0.09521917503024094,0.08627131568674329,0.7369136166725421,0.041572679610891006,0.03485566104374892,0.2809604751458281,0.030762158620790035,0.03322983983685877,0.7718245812568002,-3.913142796051316,-2.16578770994583,0.49940512469373394,-2.423609629359211,-1.013603374522938,0.005905395410885831,-2.256499532360366,-0.8770450013978963,-0.025696177171196412,-4.129615615811309,-2.166174234312899,0.3966772720638057,-2.405930190534365,-1.0584487776743652,-0.059420877002239435,-1.309397537007198,-0.47125583421481065,-0.1429628052927181,-1.4990645944616618,0.009625802667583047,-0.9612886265498508,-0.17816969735349436,-0.537775967911811,0.18779550002107742,2,5.547321504846609,0.20417749435435004,0.07980933706708142,0.1567217728379468,0.0,0.0,6.538577158209565,-0.17816969735349436,5.952439900428437,-0.07623350375611133,5.172238537371683,-0.12027386458307107,0.03494071960449219,5.998646053491115,0.014439644688092992,0.0,0.0,-1.4990645944616618,0.009625802667583047,7.499865784759416,0.0033207933634898656,0.0,0.0,5.998646053491115,0.014439644688092992,0.0,0.0,4.500097484697392,-0.0005247978207236811,0.0,0.0,2.9968006718930136,0.020652125536933876,0.0,0.0
1779459051.6296873,-0.3352216343018201,-0.17846260342613304,0.11560899283394474,-0.2009942384138377,-0.07676948458337791,0.04695516919295788,-0.33432188637810173,-0.13661214893940365,0.06429532648656557,-0.0628536105921883,0.11560899283394474,0.5362244225431669,0.0857946774435247,0.04695516919295788,0.18899792047339675,0.09024733957406453,0.06429532648656557,0.6967057503873384,-4.152922925439213,-2.2850814650419067,0.4097466653048377,-2.580492912738148,-1.0863647475570923,0.00362087746528483,-2.3741357058833454,-0.9286075959478904,-0.028786068555968256,-3.358962501057449,-1.7503110040766163,0.3423081941496422,-0.2819622050892088,-0.09565818090742866,-0.2895788135040833,1.8236674728567148,0.8924540902444728,-0.22040778833021654,-1.4990806526487002,-0.006008896531896401,-0.9558184819944897,-0.1794031523073305,-0.5432621706542105,0.1733942557754341,2,4.336671373772034,0.20140490044085144,0.07719483646870136,0.17576824654853973,0.0,0.0,6.5397859605202395,-0.17514181006264318,5.947462047628109,-0.07344869121988805,5.147425755239759,-0.1332913555759138,0.02711653709411621,5.999906115545188,-0.01270948190310188,0.0,0.0,-1.4990806526487002,-0.006008896531896401,7.498997473651913,-0.0009405488811974563,0.0,0.0,5.999906115545188,-0.01270948190310188,0.0,0.0,4.4996925910008,-0.009366241571123916,0.0,0.0,2.9997397425075443,-0.0032074381958191334,0.0,0.0
1779459051.6895447,-0.35845546386395066,-0.1898288109251409,0.13197824008325792,-0.26099597705639027,-0.1023607543601367,0.06003069861033985,-0.4457045766570001,-0.18424956909806142,0.08838369128292464,-0.05785057084188297,0.13197824008325792,0.518092386804961,0.08964818433346108,0.06003069861033985,0.3085701463425338,0.096143060878461,0.08838369128292464,0.9605992763645109,-3.6377060542460877,-2.027268688529106,0.5890793536059199,-2.2443243690161165,-0.9312015599858674,0.008236588161555763,-2.119085522185121,-0.8175734931679489,-0.02231460313231664,-3.228293259090724,-1.6961301996219118,0.36480957232982814,-1.2329498345825558,-0.5191784190535864,-0.4039806274797648,0.24653784276475954,0.20151044618601271,-0.5842707582770901,-1.498911642147195,0.013493033029809065,-0.970479181530215,-0.1879762823337357,-0.5284324606169801,0.20146931536354476,2,3.978378137435593,0.21487302197205166,0.10940192202514526,0.2420795755012464,0.0,0.0,6.531311369594301,-0.19076935980633836,5.932072159643196,-0.10330130324133416,5.132553678021844,-0.18519011797925888,0.03228187561035156,6.000290231702142,0.021851002841968552,0.0,0.0,-1.498911642147195,0.013493033029809065,7.4990892001816665,0.0018525285914051982,0.0,0.0,6.000290231702142,0.021851002841968552,0.0,0.0,4.499090563102291,-0.007156541839642365,0.0,0.0,3.0003703853831025,0.01099958574173649,0.0,0.0
1779459051.7236233,-0.37353960172234796,-0.19625807730420186,0.15594308325108136,-0.29075103243710504,-0.11372373059895745,0.08329906657141609,-0.5189676575331765,-0.21429431873681398,0.13753463633277252,-0.0403149940531205,0.15594308325108136,0.4202644215289305,0.12551841922354,0.08329906657141609,0.25212257428482054,0.16248246741845598,0.13753463633277252,0.9156491546154384,-3.6038358818976417,-2.0071180270790787,0.5721652583743516,-2.224223739257588,-0.9235436398221145,0.00790839210860973,-2.097394172128913,-0.8097541065847692,-0.02225085025964361,-3.350988074170312,-1.7835298586839825,0.6832378421641567,-2.492016278966597,-1.0692718671583958,-0.18335517445026334,-2.4017272219647223,-0.964668033616595,-0.3322953401608108,-1.4989150153189608,0.0016046279406188605,-0.9780130630952664,-0.19552653862708158,-0.5209019522236944,0.19713116656770044,2,5.391967972497926,0.22318539069571022,0.12363867845698737,0.2840385010712427,0.0,0.0,6.519955147172116,-0.19440554871279667,5.914614918464911,-0.11187120200755225,5.098840083514247,-0.2124417901454088,0.02592611312866211,6.000199739592839,-0.0034904028118912284,0.0,0.0,-1.4989150153189608,0.0016046279406188605,7.499117003692977,0.0007315386771202896,0.0,0.0,6.000199739592839,-0.0034904028118912284,0.0,0.0,4.499090563102291,-0.007156541839642365,0.0,0.0,3.0003703853831025,0.01099958574173649,0.0,0.0
