acceleration_source,acceleration_description,method,tau,k_T,c_r,beta,RMSE_IntegralY,R2_IntegralY,num_windows
a_from_v,由 true_velocity_0 微分得到的加速度,LS,0.16,3.30466166445391,0.20259377566373,0.260982660020689,0.446579903339923,0.293825992198862,2216
a_from_v,由 true_velocity_0 微分得到的加速度,NNLS,0.16,3.30466166445391,0.20259377566373,0.260982660020689,0.446579903339923,0.293825992198862,2216
a_imu_signed,IMU true_acceleration_0 幅值 + 速度微分符号,LS,0.16,6.31978625498702,0.421760861737018,0.4633456001411,1.38744004008061,0.121936637416073,2216
a_imu_signed,IMU true_acceleration_0 幅值 + 速度微分符号,NNLS,0.16,6.31978625498702,0.421760861737018,0.4633456001411,1.38744004008061,0.121936637416073,2216
