timestamp,time,x,y,th,v,u,delta,v_ref,yolo_gain,state,gps_valid,platoon_enabled,platoon_is_leader,platoon_position,platoon_leader_id,platoon_setup_complete,v2v_active,v2v_peers,v2v_protocol,v2v_local_rate,v2v_fleet_rate
1779470634.4215481,4.047245979309082,0.0,0.0,0.0,0.0,0.0,0.0,,,INITIALIZING,False,,,,,,,,,,
1779470634.7790534,4.40475058555603,0.0,0.0,0.0,0.0,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.793778,4.419477939605713,7.499945345470799,-0.620000124876868,0.00012575394568425935,-0.014990188683586998,0.0,0.0,,,WAITING_FOR_START,True,,,,,,,,,,
1779470634.8039699,4.429666757583618,7.499890707980441,-0.6200001371006227,0.00033860112171790746,-0.02190748273849941,0.0,0.0,,,WAITING_FOR_START,True,,,,,,,,,,
1779470634.8233414,4.449037790298462,7.499893221935149,-0.6200001274438035,-0.0002701395006852181,-0.005297405464923275,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.8339543,4.459651470184326,7.49991705229382,-0.6200001349973215,-0.0009486079244318546,0.0023294437883806442,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.8439934,4.469690322875977,7.499791465566259,-0.6200000167409492,-0.0008643652208810693,-0.012095273185787004,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.8546479,4.480344772338867,7.49972145433487,-0.6199999547866293,-0.0010776107632075593,-0.0067127329488102455,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.865072,4.49076771736145,7.499819136276038,-0.6200000661233596,-0.0018734999211105219,0.009158965915221057,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.8766582,4.502354860305786,7.499688198488005,-0.6199998180721683,-0.0021381868654621883,-0.01236811715191914,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.886658,4.512353897094727,7.499723852230484,-0.6199998915834326,-0.0008558769412019274,0.0032486032000494376,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
1779470634.8989184,4.524616718292236,7.499453408640689,-0.6199996853853476,0.00026629141427747527,-0.026187158471505826,0.0,0.0,,,WAITING_FOR_START,False,,,,,,,,,,
