timestamp,observer_vehicle_id,vehicle_0_x,vehicle_0_y,vehicle_0_theta,vehicle_0_velocity,vehicle_1_x,vehicle_1_y,vehicle_1_theta,vehicle_1_velocity,vehicle_2_x,vehicle_2_y,vehicle_2_theta,vehicle_2_velocity,vehicle_3_x,vehicle_3_y,vehicle_3_theta,vehicle_3_velocity
1759830037.3187184,0,0.0,6.0,-0.05483113549895436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.3292553,0,0.0,6.0,-0.05483113549895436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.340445,0,0.0,6.0,-0.05483113549895436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.350827,0,0.0,6.0,-0.05483113549895436,0.0,1.1178155899047852,0.838361692428589,-0.438965155162536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.3619661,0,0.0,6.0,-0.05483113549895436,0.0,2.056443703683681,1.5423327777627607,-0.8075635530789287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.3725686,0,0.0,6.0,-0.05483113549895436,0.0,2.848151911470224,2.136113933602668,-1.1184666388947881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.3833356,0,0.0,6.0,-0.05483113549895436,0.0,3.5177600965608096,2.6383200724206075,-1.3814211579773412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.3946233,0,0.0,6.0,-0.05483113549895436,0.0,4.158697777310291,3.119023332982719,-1.6331167963461686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4055204,0,0.0,6.0,-0.05483113549895436,0.0,4.695426820046073,3.5215701150345553,-1.8438897983087021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4158604,0,0.0,6.0,-0.05483113549895436,0.0,5.146910204005014,3.8601826530037613,-2.0211869083890193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4262738,0,0.0,6.0,-0.05483113549895436,0.0,5.527797090447365,4.1458478178355245,-2.1707608387551036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4377341,0,0.0,6.0,-0.05483113549895436,0.0,5.889479860255315,4.417109895191487,-2.312793330162641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4481556,0,0.0,6.0,-0.05483113549895436,0.0,6.191650071431813,4.643737553573861,-2.4314552944727703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4590027,0,0.0,6.0,-0.05483113549895436,0.0,6.444672963900804,4.833504722925605,-2.530817151880561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4705226,0,0.0,6.0,-0.05483113549895436,0.0,6.656917925543102,4.992688444157328,-2.6141655533174326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4813883,0,0.0,6.0,-0.05483113549895436,0.0,6.858056481332208,5.14354211106213,-1.75219001291999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.4925506,0,0.0,6.0,-0.05483113549895436,0.0,7.025248748867597,5.268936103958682,-1.0356906595578477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.5038683,0,0.0,6.0,-0.05483113549895436,0.0,7.164652775882148,5.373488950994585,-0.43827729418876604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.5140877,0,0.0,5.999996689955394,-2.8798466424190217,0.0,7.281558947791579,5.461168434657736,0.06272193150461464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.525173,0,0.0,5.999996671437553,-3.1212057647695346,0.0,7.391461114100996,5.543594922824133,0.5337056214478607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.535374,0,0.0,5.999996665627729,3.1394499630439334,0.0,7.482688915576773,5.612015660570275,0.9246606681709916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.5466974,0,0.0,5.999996663468658,3.1363151529209574,0.0,7.558483190944728,5.668861272913424,1.2494756257658315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759830037.557469,0,0.0,5.999996662647243,3.136007487293936,0.0,7.621745679499562,5.7163080607188705,1.5205858440181432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
