throttle,velocity,velocity_std,segment_idx
0.01,0.018612950302083334,0.011589472495032444,0
0.02,0.08858848500704225,0.012518064083727727,1
0.03,0.15429424447014925,0.011964719096482926,2
0.04,0.2217353813211679,0.011629250949337958,3
0.05,0.2886513688661972,0.012405658432767665,4
0.06,0.3564070215724638,0.013250212582673726,5
0.07,0.4227246227372263,0.013815212480980436,6
0.08,0.4913536547214286,0.010308837034515517,7
0.09,0.5565288984104477,0.011290633651559983,8
0.1,0.6232403098943662,0.0112569327699312,9
0.11,0.6910664965167784,0.011643836105729877,10
0.12,0.7571835330985914,0.012851990430617122,11
0.13,0.8253694254871795,0.012386686154002522,12
0.15,0.8920970952371795,0.011456417010291282,13
0.16,0.9585871363591549,0.0116887937128891,14
0.17,1.0289170755642858,0.011456233610280012,15
0.18,1.0952037324637682,0.012574470268874349,16
0.19,1.1610853051594203,0.01230985284273903,17
0.2,1.2306648599343066,0.011297713267316644,18
0.21,1.29738238023741,0.012259705527906834,19
0.22,1.3631373421240878,0.01272130648194089,20
0.23,1.431102041610294,0.01323871214866416,21
0.24,1.497618218958042,0.011203648368252151,22
0.25,1.5657004803013699,0.010747628535827863,23
0.25,1.632174477692308,0.01195868890409579,24
