time,velocity,throttle,segment_index,segment_duration
1770917857.7076757,0.0209886107603566,0.05,0,4.971704006195068
1770917857.7502277,0.0093764232940407,0.05,0,4.971704006195068
1770917857.7911327,0.0058927670541459,0.05,0,4.971704006195068
1770917857.8278158,-0.004814294493346,0.05,0,4.971704006195068
1770917857.8809326,0.0130121995278499,0.05,0,4.971704006195068
1770917857.941817,0.0011929267520795,0.05,0,4.971704006195068
1770917857.9985204,0.0080575880448393,0.05,0,4.971704006195068
1770917858.0591135,0.0085981341764467,0.05,0,4.971704006195068
1770917858.1171725,0.0016835394191316,0.05,0,4.971704006195068
1770917858.1554806,-0.008708923130246,0.05,0,4.971704006195068
1770917858.1895075,0.0029345641929179,0.05,0,4.971704006195068
1770917858.246801,0.0064276103898671,0.05,0,4.971704006195068
1770917858.315562,0.0095345612317792,0.05,0,4.971704006195068
1770917858.350199,0.000486040606515,0.05,0,4.971704006195068
1770917858.3923872,-0.0022285155810641,0.05,0,4.971704006195068
1770917858.4405062,-0.0217909269571353,0.05,0,4.971704006195068
1770917858.4757383,-0.0082376000165621,0.05,0,4.971704006195068
1770917858.539988,-0.0115697661710033,0.05,0,4.971704006195068
1770917858.576444,-0.0125694160173357,0.05,0,4.971704006195068
1770917858.660516,-0.0042831697997785,0.05,0,4.971704006195068
1770917858.6962333,0.0194636347589978,0.05,0,4.971704006195068
1770917858.731526,0.0166717758771847,0.05,0,4.971704006195068
1770917858.7766922,0.0158342182126407,0.05,0,4.971704006195068
1770917858.8121822,0.014335243399143,0.05,0,4.971704006195068
1770917858.8524008,0.0138855509550937,0.05,0,4.971704006195068
1770917858.8884263,-0.0055882510496158,0.05,0,4.971704006195068
1770917858.9262347,0.0188235047108162,0.05,0,4.971704006195068
1770917858.9908483,0.0261470314389459,0.05,0,4.971704006195068
1770917859.063109,0.0116344658193343,0.05,0,4.971704006195068
1770917859.4093566,0.0032527172154143,0.05,0,4.971704006195068
1770917859.452218,0.0042759755165283,0.05,0,4.971704006195068
1770917859.4953356,0.0045800115778147,0.05,0,4.971704006195068
1770917859.537985,-0.008955631734295,0.05,0,4.971704006195068
1770917859.591873,0.0051602229719882,0.05,0,4.971704006195068
1770917859.6317148,0.0093949793838731,0.05,0,4.971704006195068
1770917859.6684673,-0.0032520431191847,0.05,0,4.971704006195068
1770917859.7414503,-0.0057544657353882,0.05,0,4.971704006195068
1770917859.779552,-0.0065051925202492,0.05,0,4.971704006195068
1770917859.8218284,-0.0065768759948947,0.05,0,4.971704006195068
1770917859.8575656,0.002530273228516,0.05,0,4.971704006195068
1770917859.9267912,0.0118876990988686,0.05,0,4.971704006195068
1770917859.961785,0.0146949268599744,0.05,0,4.971704006195068
1770917859.998593,-0.002897686437771,0.05,0,4.971704006195068
1770917860.0335484,-0.0081754704270946,0.05,0,4.971704006195068
1770917860.0907643,-0.0010467965466741,0.05,0,4.971704006195068
1770917860.1244044,-0.0056397333844578,0.05,0,4.971704006195068
1770917860.1913176,-0.0075634500885364,0.05,0,4.971704006195068
1770917860.2254214,-0.00814056509976,0.05,0,4.971704006195068
1770917860.288621,-0.016919452310535,0.05,0,4.971704006195068
1770917860.3476992,0.0030934221353158,0.05,0,4.971704006195068
1770917860.410371,0.0125886056489524,0.05,0,4.971704006195068
1770917860.4442072,0.0064628366431313,0.05,0,4.971704006195068
1770917860.4802802,0.004625105941385,0.05,0,4.971704006195068
1770917860.52063,0.0040737867308611,0.05,0,4.971704006195068
1770917860.6072855,-0.0022197826608495,0.05,0,4.971704006195068
1770917860.6499176,0.0015705406513846,0.05,0,4.971704006195068
1770917860.6893327,0.0178421034148039,0.05,0,4.971704006195068
1770917860.7542796,0.0385452591490072,0.05,0,4.971704006195068
1770917860.8216074,0.0542257017966458,0.05,0,4.971704006195068
1770917860.8604283,0.0589298345909374,0.05,0,4.971704006195068
1770917860.8946743,0.0609081768601454,0.05,0,4.971704006195068
1770917860.933259,0.0615016795409078,0.05,0,4.971704006195068
1770917860.9690747,0.0867383115013583,0.05,0,4.971704006195068
1770917861.0063362,0.0943093010894934,0.05,0,4.971704006195068
1770917861.0785687,0.1060364305273985,0.05,0,4.971704006195068
1770917861.1366663,0.1111979418021582,0.05,0,4.971704006195068
1770917861.199904,0.1142809079866707,0.05,0,4.971704006195068
1770917861.234879,0.1152057978420244,0.05,0,4.971704006195068
1770917861.2966387,0.1384053688804901,0.05,0,4.971704006195068
1770917861.358138,0.1644874789618236,0.05,0,4.971704006195068
1770917861.3955684,0.1721629378009129,0.05,0,4.971704006195068
1770917861.4300516,0.1774545797894908,0.05,0,4.971704006195068
1770917861.4945564,0.193270639716957,0.05,0,4.971704006195068
1770917861.5533187,0.1942423859896108,0.05,0,4.971704006195068
1770917861.587325,0.1945339098714069,0.05,0,4.971704006195068
1770917861.6512556,0.1966293722363739,0.05,0,4.971704006195068
1770917861.7087128,0.2084746856970478,0.05,0,4.971704006195068
1770917861.775241,0.2167186095198922,0.05,0,4.971704006195068
1770917861.8256392,0.2191917866667455,0.05,0,4.971704006195068
1770917861.8868475,0.2352835653806995,0.05,0,4.971704006195068
1770917861.9497902,0.2280638452976927,0.05,0,4.971704006195068
1770917862.0074508,0.2441546171691264,0.05,0,4.971704006195068
1770917862.072477,0.2273262307270698,0.05,0,4.971704006195068
1770917862.134066,0.233264356146201,0.05,0,4.971704006195068
1770917862.2047052,0.2345363690791276,0.05,0,4.971704006195068
1770917862.2623165,0.2336796743462637,0.05,0,4.971704006195068
1770917862.2960582,0.2334226659264046,0.05,0,4.971704006195068
1770917862.335465,0.2374215292127294,0.05,0,4.971704006195068
1770917862.3860235,0.2492415546541803,0.05,0,4.971704006195068
1770917862.4396448,0.2609251477552866,0.05,0,4.971704006195068
1770917862.4738307,0.2644302256856184,0.05,0,4.971704006195068
1770917862.5071208,0.2642345643776535,0.05,0,4.971704006195068
1770917862.5645387,0.2756483454777043,0.05,0,4.971704006195068
1770917862.6215909,0.2741832661462293,0.05,0,4.971704006195068
1770917862.6793797,0.2587195519990175,0.05,0,4.971704006195068
1770917862.7423246,0.2640691844062288,0.06,1,4.983510971069336
1770917862.793017,0.251999228868153,0.06,1,4.983510971069336
1770917862.8511612,0.2627419912218841,0.06,1,4.983510971069336
1770917862.9014926,0.2744705241589452,0.06,1,4.983510971069336
