time,x_vec_p1,x_vec_v1,x_vec_a1,x_vec_p2,x_vec_v2,x_vec_a2,x_vec_p3,x_vec_v3,x_vec_a3,dynamics_p1,dynamics_v1,dynamics_a1,dynamics_p2,dynamics_v2,dynamics_a2,dynamics_p3,dynamics_v3,dynamics_a3,measurement_p1,measurement_v1,measurement_a1,measurement_p2,measurement_v2,measurement_a2,measurement_p3,measurement_v3,measurement_a3,consensus_p1,consensus_v1,consensus_a1,consensus_p2,consensus_v2,consensus_a2,consensus_p3,consensus_v3,consensus_a3,local_meas_rel_pos,local_meas_vel,est_meas_rel_pos,est_meas_vel,meas_err_rel_pos,meas_err_vel,neighbor_count,consensus_norm,collective_control_1,collective_control_2,collective_control_3,fleet_x_0,fleet_v_0,fleet_x_1,fleet_v_1,fleet_x_2,fleet_v_2,fleet_x_3,fleet_v_3,dt,position,velocity,acceleration,control_input,local_measurement_p,local_measurement_v,true_position_0,true_velocity_0,true_acceleration_0,true_position_1,true_velocity_1,true_acceleration_1,true_position_2,true_velocity_2,true_acceleration_2,true_position_3,true_velocity_3,true_acceleration_3
1770917857.7076755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625,0.0,0.0,-0.625,0.0,0.0,-0.625,-8.944738302254798,8.045275348918297,-5.832593143723167,-32.162116326310404,-17.191640223896332,-2.9077146189140866,-41.04394735472886,-22.889153068740292,-2.158330217976632,9.86547972989066,1.2298357681756258,2.1639973915126802,19.231666225870704,11.5866621252781,0.022434765676823062,37.93716903216327,21.28034783831651,0.5354459169027672,-1.5002867284771622,-0.02161595797640733,-0.40899511889729573,0.029983729657652305,-1.0912916095798664,-0.051599687634059636,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,6.00046906740508,0.011007408103809875,0.0,0.0,0.0,0.0,0.29267191886901855,5.999720026049718,-0.02161595797640733,0.0,0.0,-1.5002867284771622,-0.02161595797640733,5.250004728168816,0.020988610760356612,0.0,5.999720026049718,-0.02161595797640733,0.0,4.499220472952793,-0.02304937432646126,0.0,2.997654823984492,-0.009603354415664803,0.0
1770917857.7502277,-5.505222605812625,1.994687780031817,-2.523297445650444,-15.04151695748393,-8.422600970325666,-1.040492392254232,-23.115554887369004,-12.92717258595517,-0.9713125796918586,1.2376985463366839,-2.523297445650444,15.145609035315275,-9.49173792169707,-1.040492392254232,5.87807745158895,-14.28770331123413,-0.9713125796918586,5.445703623074116,-33.28315639114818,-83.02755514258132,8.990088366259352,161.17323805296977,87.28906529708031,13.202856984184987,226.4603150794004,122.98238547231679,11.962765663507454,8.164693471297257,8.744934650480173,-0.13655912765057354,-34.18305555893243,-20.309764481852593,-2.6763224975460407,-24.170584045049186,-13.538482899999583,1.0986696530902416,-1.500458865976726,-0.007637071791395401,-6.504948871278999,1.9990875515545796,5.004490005302273,-2.006724623345975,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,0.9873826958074146,2.0246715096894694,-6.431126483663487,-8.392617240668013,-11.036007756659309,-12.897188856297516,0.010352849960327148,5.999820688148597,-0.007637071791395401,0.0,0.0,-1.500458865976726,-0.007637071791395401,6.825197106338371,0.009376423294040745,0.0,5.999820688148597,-0.007637071791395401,0.0,4.502136162620669,0.012991412544621278,0.0,2.999840015090932,0.010642986803303653,0.0
1770917857.7911327,-5.92151226927035,1.0184576428585008,-2.2720104156048047,-13.117289099480367,-7.319418491339463,-0.8152427756752827,-20.668729241970567,-11.523848372645134,-0.8024596712033241,0.33685451817705947,-2.2720104156048047,13.575065097530029,-8.24559444872349,-0.8152427756752827,4.470267347970517,-12.690762231390156,-0.8024596712033241,4.390372945020776,-0.021824579605767985,-63.91255548025648,17.356570561699698,158.8680408743289,85.56334902015347,13.58844368196336,214.49998332159535,117.74855019348017,11.31031318507246,8.347714895638513,8.85364758355694,-0.06322829978530088,-34.52953728110075,-20.519870751601076,-2.7546859323030213,-23.581361032513765,-13.17495879892146,1.149834803531488,-1.5005804676432328,-0.004316107549115112,-6.628369493584729,1.0228574143812634,5.127789025941496,-1.0271735219303786,1,49.99999999999999,-0.1,-0.1,-0.1,0.0,0.0,0.8719100605405944,1.0228574143812634,-4.5293611537244125,-7.315018719816701,-9.024966715877902,-11.51944860112237,0.010507583618164062,5.9996990864820905,-0.004316107549115112,0.0,0.0,-1.5005804676432328,-0.004316107549115112,7.297754819789238,0.005892767054145985,0.0,5.9996990864820905,-0.004316107549115112,0.0,4.498495434213128,0.010642986803303653,0.0,3.0000361500745023,0.005618979360117741,0.0
1770917857.8278158,-6.005916378135102,0.2299873401658682,-1.9463292908218346,-11.171789148613202,-6.213306420738189,-0.5965442667165366,-18.300418853569422,-10.156590566419393,-0.649565384174003,-0.3539114470806821,-1.9463292908218346,11.539558067636467,-6.976168487999701,-0.5965442667165366,3.1034016669783537,-11.114322248933105,-0.649565384174003,3.4347836510875185,24.976856691355884,-46.440375505610994,22.800856867953232,149.41429643259343,80.1078528001914,13.217809645592805,195.08609195710434,108.09226218220748,10.270259913605345,8.580244179148162,8.992311107909398,0.026704062494459207,-34.87145137183258,-20.72614819420851,-2.8357083841543043,-22.955693261690627,-12.78581324506205,1.2014917432245806,-1.500856669652145,-0.02048316716249554,-6.472091669637895,0.2205843050093113,4.97123499998575,-0.24106747217180685,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,1.024047042483632,0.23438711168863072,-2.67915373322984,-6.208906649215427,-7.16212619971707,-10.15219079489663,0.01048898696899414,5.999463158580904,-0.02048316716249554,0.0,0.0,-1.500856669652145,-0.02048316716249554,7.439550325699907,-0.004814294493346028,0.0,5.999463158580904,-0.02048316716249554,0.0,4.498795689269671,0.016579836759395884,0.0,3.0002127363486952,0.0026240843745518215,0.0
1770917857.8809326,-5.837644695715516,-0.3718604099484849,-1.586413224616106,-9.311991281685373,-5.1619170433164046,-0.395607585651516,-16.129959390951523,-8.895515291275782,-0.5184157920524792,-0.8477843773333167,-1.586413224616106,9.290082653850662,-5.756523286396691,-0.395607585651516,1.8475474103219751,-9.645646271971813,-0.5184157920524792,2.6150987003279953,42.427388382417426,-31.370937147500797,25.820714669312203,135.67265012549518,72.45285992456105,12.34815961719398,171.8908467102686,96.0579812381586,9.035768076600881,1.2436869278278273,0.06777261902784133,0.7774858541880079,17.727898533277493,8.71066668231596,1.5791029851423555,39.56043288386218,23.228558346543235,0.776354257148738,-1.5008717967943204,0.002623103317088173,-6.132282210392051,-0.35120828441155105,4.631410413597731,0.3538313877286392,1,49.99999999999999,-0.1,-0.1,-0.1,0.0,0.0,1.3770541660490456,-0.3812634451050418,-0.9458963963789226,-5.171320078472961,-5.492389007715372,-8.90491832643234,0.024336576461791992,5.999567671066211,0.002623103317088173,0.0,0.0,-1.5008717967943204,0.002623103317088173,7.482172725212345,0.013012199527849905,0.0,5.999567671066211,0.002623103317088173,0.0,4.499133081998244,0.01745176599947961,0.0,3.000234218193317,0.01675974521466639,0.0
1770917857.941817,-4.856006565608367,-1.1755788407825638,-0.7508579648648795,-6.581713885407783,-3.620278017891259,-0.08856263668613695,-13.144232164665848,-7.135712937968086,-0.2537673866301356,-1.4008362302420276,-0.7508579648648795,4.067862280405497,-3.872104198356564,-0.08856263668613695,-0.07148352071164399,-7.463669334422432,-0.2537673866301356,0.9610461664383474,61.10300577690174,-4.445244776027693,26.118598484656754,94.11977326082662,49.80148161457075,9.121131929279768,110.82064208410867,63.281353614202104,5.803377053490136,1.1634198818974901,-0.17697497253390584,0.9254952482444969,18.17664704506215,9.094394682635228,1.5283658962678286,39.343216287857786,23.10600706843985,0.7402346289141689,-1.5009901375529537,-0.015485897163952426,-4.902171170613766,-1.1794513166486715,3.401181033060812,1.163965419484719,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,2.5909109168258535,-1.15492671524563,1.545091364732735,-3.599625892354325,-3.282908670795984,-7.115060812431152,0.028631925582885742,5.9989269150903946,-0.015485897163952426,0.0,0.0,-1.5009901375529537,-0.015485897163952426,7.494593754414048,0.0011929267520795176,0.0,5.9989269150903946,-0.015485897163952426,0.0,4.498967485011262,0.0026240843745518215,0.0,3.0003794883684685,0.002881158116765832,0.0
1770917857.9985204,-3.1799294414917174,-1.3192861335372046,0.08693982229603214,-4.51818174632284,-2.457291452983042,0.12678616449390503,-11.311395053369804,-5.992681254332533,-0.08128326719494444,-1.293204186848395,0.08693982229603214,-1.168373889350201,-2.3931736569460607,0.12678616449390503,-1.4174135280869065,-5.952948438454036,-0.08128326719494444,-0.11697958003159725,54.108198683278374,12.589502203360517,18.638464112333494,42.259155873760456,21.97225220688257,4.562664243310761,42.662240779237735,25.58583868426733,2.2140597143906193,-15.46689226566473,-12.729964691548268,-2.4900018811208384,30.204681092369785,19.12795472512789,4.161285620235419,-23.64647243507774,-15.162427356048516,-2.81967398903643,-1.5017888921758322,-0.012084594265988423,-3.187443477153077,-1.3082865477954682,1.6856545849772449,1.2962019535294798,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,4.316935193972625,-1.3231586094033123,3.3170320677962466,-2.4611639288491496,-2.077215120191125,-5.996553730198641,0.03071761131286621,5.998636498742588,-0.012084594265988423,0.0,0.0,-1.5017888921758322,-0.012084594265988423,7.498675899967108,0.008057588044839397,0.0,5.998636498742588,-0.012084594265988423,0.0,4.499763713866987,-0.0065783518247122235,0.0,3.0009713348844285,0.008194137959907486,0.0
1770917858.0591135,-1.0824729842245473,-0.5388620071415138,0.7000661733189129,-4.221409653605593,-2.3660268603595647,0.09557599920145485,-9.457410130494111,-4.743488684240779,0.0697476748884493,-0.3288421551458399,0.7000661733189129,-5.000413583243206,-2.1273342086034543,0.09557599920145485,-1.2223499950090928,-4.483871730018134,0.0697476748884493,-1.060922968052808,16.353041873499393,12.374164091328915,3.304751378703584,-8.532738483464039,-4.833607024356686,-0.44333332808059855,-15.87053973938818,-8.057338559763918,-0.8475505408663223,-14.552904747748146,-12.69331764880489,-1.8030476726965485,33.7762753983742,21.44351105280426,4.228051121901877,-18.69824219355137,-12.141649287036644,-2.8740909299144892,-1.5016790585459097,-0.0006209438362507273,-1.3234633211233766,-0.5300322103372352,-0.17821573742253305,0.5294112665009845,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,6.176311133113806,-0.5278624213997772,3.3438826461181086,-2.3550272746178282,-0.8723711012206965,-4.732489098499042,0.027823925018310547,5.998571993534112,-0.0006209438362507273,0.0,0.0,-1.5016790585459097,-0.0006209438362507273,7.499778506446148,0.008598134176446766,0.0,5.998571993534112,-0.0006209438362507273,0.0,4.499908561007674,0.01675974521466639,0.0,3.00020085510445,-0.0026397889412118404,0.0
1770917858.1171725,-0.23169792228268504,0.17809231390811897,0.7030540585329673,-5.45780327096159,-3.094500124000452,-0.06841082607382468,-9.503491260243129,-4.6279064747373635,0.09661494160659857,0.3890085314680092,0.7030540585329673,-5.019087865831046,-2.9041071542627095,-0.06841082607382468,-0.19743233703859575,-4.408529022517642,0.09661494160659857,-1.228843385041241,-11.400788509595534,3.0807636900941575,-5.484997681278395,-23.15842173152261,-12.306684384388538,-2.1806126354869617,-28.23434993893518,-15.955684199927576,-1.481287439755075,5.2103390151705,5.76735068258019,-0.132480076344172,-28.363700831434922,-16.02046227527312,-2.261859411349983,-32.15591895225253,-18.417109453922613,0.3296874483556328,-1.5000121646374334,-0.004196597528534968,-0.6847416589549198,0.1768124555741155,-0.8152705056825136,-0.18100905310265047,1,50.0,-0.1,-0.1,-0.1,0.0,0.0,6.812476496583617,0.18692211071239748,2.112072246063564,-3.0856703271961736,-0.947892739838049,-4.619076677933085,0.02613687515258789,5.999908101430853,-0.004196597528534968,0.0,0.0,-1.5000121646374334,-0.004196597528534968,7.499877738181644,0.0016835394191316176,0.0,5.999908101430853,-0.004196597528534968,0.0,4.500020644580625,0.002881158116765832,0.0,2.999539097250513,-0.00686468638529659,0.0
1770917858.1554806,-0.6556934211209402,0.12624896125234134,0.4319727012116779,-5.397657827113509,-2.9992216201421376,-0.07144755358080404,-9.5162188732079,-4.561047297509622,0.017163590914670762,0.25584077161584473,0.4319727012116779,-3.324829382572987,-2.891064075852875,-0.07144755358080404,-0.17845279011997472,-4.447740675945958,0.017163590914670762,-0.7322724432166923,-6.2880726460529175,1.2026559494217577,-2.8903242868487538,-11.538500823723636,-6.12286177920696,-1.097120719718417,-13.905879805498305,-7.885382352801636,-0.7291172316163947,5.1153571572719185,5.723302513248634,-0.19267772643110534,-28.36103815792142,-16.022787408896026,-2.266328644555659,-32.1721560129908,-18.430430446660587,0.31139772771793345,-1.499433647728753,0.005274509389279689,-1.0896192588012203,0.11308612560093342,-0.40981438892753275,-0.10781161621165374,1,50.00000000000001,-0.1,-0.1,-0.1,0.0,0.0,6.406736114071844,0.12496910291833789,2.1649221516221178,-3.000501478476141,-0.9849407477191852,-4.562327155843625,0.014447927474975586,6.00044810194667,0.005274509389279689,0.0,0.0,-1.499433647728753,0.005274509389279689,7.49988054622729,-0.00870892313024605,0.0,6.00044810194667,0.005274509389279689,0.0,4.500483148714708,0.008194137959907486,0.0,2.998916630115289,-0.01654810213192537,0.0
