time,x_vec_p1,x_vec_v1,x_vec_a1,x_vec_p2,x_vec_v2,x_vec_a2,x_vec_p3,x_vec_v3,x_vec_a3,dynamics_p1,dynamics_v1,dynamics_a1,dynamics_p2,dynamics_v2,dynamics_a2,dynamics_p3,dynamics_v3,dynamics_a3,measurement_p1,measurement_v1,measurement_a1,measurement_p2,measurement_v2,measurement_a2,measurement_p3,measurement_v3,measurement_a3,consensus_p1,consensus_v1,consensus_a1,consensus_p2,consensus_v2,consensus_a2,consensus_p3,consensus_v3,consensus_a3,local_meas_rel_pos,local_meas_vel,est_meas_rel_pos,est_meas_vel,meas_err_rel_pos,meas_err_vel,neighbor_count,consensus_norm,collective_control_1,collective_control_2,collective_control_3,fleet_x_0,fleet_v_0,fleet_x_1,fleet_v_1,fleet_x_2,fleet_v_2,fleet_x_3,fleet_v_3,dt,position,velocity,acceleration,control_input,local_measurement_p,local_measurement_v,true_position_0,true_velocity_0,marker,true_acceleration_0,true_position_1,true_velocity_1,true_acceleration_1,true_position_2,true_velocity_2,true_acceleration_2,true_position_3,true_velocity_3,true_acceleration_3
1771193830,-0.445887005,-0.232295406,0.176171905,-0.43969143,-0.176477425,0.108523313,-0.40546447,-0.157996234,0.079371349,-0.056123501,0.176171905,-0.093232106,0.108217793,0.108523313,0.329546099,0.206070332,0.079371349,0.511777719,-2.774504157,-1.588032663,0.824165473,-1.685655219,-0.677029191,0.014531308,-1.680555531,-0.630360954,-0.012295921,-2.684363235,-1.404184252,0.291634426,-0.727761841,-0.292996353,-0.16678521,0.241421606,0.159455644,-0.066314597,-1.499459188,-0.000660891,-1.010802717,-0.235084288,-0.488656471,0.234423397,1,3.161328773,0.161254768,0.161250689,0.161255784,0,0,6.488961918,-0.235084288,5.8744238,-0.179266307,5.269435877,-0.160785116,0.016697168,6.000195702,-0.001564517,0,0,-1.499459188,-0.000660891,7.499764635,-0.002788882,,0,6.000195702,-0.001564517,0,4.500116137,-0.00362266,0,2.999509374,-0.000496552,0
1771193830,-0.448329207,-0.232423582,0.183506953,-0.453878607,-0.181077654,0.117053272,-0.434115255,-0.169858658,0.088818546,-0.048916629,0.183506953,-0.140036273,0.119482571,0.117053272,0.276233854,0.219520113,0.088818546,0.452732734,-2.93377592,-1.659830947,0.697906492,-1.794508944,-0.731268711,0.011545981,-1.747250301,-0.663402398,-0.015188864,-2.68684285,-1.410105589,0.349147953,-1.004343582,-0.414378923,-0.127655337,-0.291394531,-0.073117261,-0.05596396,-1.499823652,-0.015084616,-1.022757697,-0.22557151,-0.477065955,0.210486893,1,3.258761612,0.161101149,0.161250689,0.161255784,0,0,6.486647892,-0.235212464,5.864965029,-0.183866536,5.257375921,-0.17264754,0.029260159,5.999573469,-0.021266213,0,0,-1.499823652,-0.015084616,7.499640098,0.006852072,,0,5.999573469,-0.021266213,0,4.500116137,-0.00362266,0,2.999509374,-0.000496552,0
1771193830,-0.456985816,-0.234361143,0.1896142,-0.473502891,-0.186924902,0.129208971,-0.470290632,-0.18453165,0.103258664,-0.044746943,0.1896142,-0.177977255,0.131898269,0.129208971,0.200277316,0.237550184,0.103258664,0.362482999,-2.520083861,-1.467903467,0.97709885,-1.515167796,-0.594705455,0.018227243,-1.565653361,-0.576697348,-0.008289049,-2.721024472,-1.432907263,0.408347088,-1.368547305,-0.575327251,-0.073783619,-0.963164734,-0.366684205,-0.032951111,-1.499886169,0.009020252,-1.003849678,-0.253136138,-0.496036491,0.262156391,1,3.59117548,0.161137839,0.161253342,0.161255943,0,0,6.470163353,-0.227509071,5.833719108,-0.18007283,5.214610945,-0.177679578,0.020417929,5.999893695,0.01935091,0,0,-1.499886169,0.009020252,7.499821541,-0.018774996,,0,5.999893695,0.01935091,0,4.500177628,0.003282216,0,2.999626824,0.000997311,0
1771193830,-0.453796665,-0.231204164,0.197593006,-0.473803489,-0.184682386,0.13517689,-0.477741919,-0.186711356,0.111163364,-0.033611158,0.197593006,-0.227247754,0.14808751,0.13517689,0.162402324,0.257221904,0.111163364,0.312435865,-2.560730008,-1.487642264,0.957569217,-1.542063385,-0.607423192,0.017744673,-1.584851285,-0.585359469,-0.008867406,-2.694427955,-1.409261981,0.308629153,-0.774888197,-0.314153997,-0.181839557,0.385977325,0.224203886,-0.05523993,-1.499794766,0.008802901,-1.003817506,-0.249979159,-0.49597726,0.25878206,1,3.205576499,0.161233365,0.161161262,0.161153102,0,0,6.496004035,-0.249979159,5.879454593,-0.203457381,5.281002513,-0.205486351,0.027686119,6.000087711,0.00870975,0,0,-1.499794766,0.008802901,7.499821541,-0.018774996,,0,6.000087711,0.00870975,0,4.500158564,-0.016546007,0,3.000532919,0.018086079,0
1771193830,-0.45102565,-0.227903626,0.209268029,-0.490943624,-0.189059348,0.145198893,-0.525185039,-0.206047341,0.121097376,-0.018635597,0.209268029,-0.300429551,0.165407574,0.145198893,0.099764806,0.269516957,0.121097376,0.250958208,-2.804701091,-1.591267542,0.707204566,-1.712771547,-0.695552346,0.011918294,-1.677241116,-0.634940025,-0.014016549,-2.660203668,-1.398837975,0.400517928,-1.148511611,-0.475389768,-0.128892952,-0.47527633,-0.153048373,-0.060147517,-1.500138685,-0.006255767,-1.034925379,-0.216100271,-0.465213306,0.209844504,1,3.317900346,0.161199301,0.161161262,0.161250689,0,0,6.495474513,-0.246678621,5.863390882,-0.207834344,5.253971804,-0.224822337,0.01104331,5.999989885,-0.012709482,0,0,-1.500138685,-0.006255767,7.50035785,0.011803355,,0,5.999989885,-0.012709482,0,4.500158564,-0.016546007,0,3.000227786,-0.00362266,0
1771193830,-0.452827179,-0.227717674,0.209337128,-0.495348274,-0.189887195,0.147855649,-0.535482349,-0.210031704,0.124378224,-0.018380545,0.209337128,-0.300507481,0.167305582,0.147855649,0.083747688,0.271539297,0.124378224,0.229829009,-2.728635635,-1.55004206,0.705332056,-1.665114659,-0.675155448,0.011975918,-1.634722473,-0.618033581,-0.013418327,-2.554232584,-1.339227439,0.34757321,-0.7136104,-0.285095613,-0.141764446,0.18428184,0.133287151,-0.097061857,-1.500337583,-0.001156812,-1.043788329,-0.20903885,-0.456549255,0.207882038,1,3.018311465,0.161255931,0.161255279,0.161150865,0,0,6.463444989,-0.215914318,5.799007734,-0.17808384,5.157102007,-0.198228349,0.025904655,5.999751632,0.001028455,0,0,-1.500337583,-0.001156812,7.500221815,0.018678824,,0,5.999751632,0.001028455,0,4.499691984,-0.001122499,0,3.000757534,0.018277072,0
1771193830,-0.457821171,-0.227755947,0.210820205,-0.515662671,-0.196161411,0.154007695,-0.575568897,-0.226272434,0.132498622,-0.016935743,0.210820205,-0.309961726,0.168666489,0.154007695,0.045162594,0.271054088,0.132498622,0.179141504,-2.729624791,-1.556304507,0.756686266,-1.662159657,-0.670874054,0.013104707,-1.644081704,-0.619183421,-0.01277932,-2.567848247,-1.351417166,0.393625814,-1.10283336,-0.456650958,-0.109990284,-0.555176516,-0.191350769,-0.102682215,-1.500534448,-0.006706,-1.032149213,-0.225671958,-0.468385235,0.218965958,1,3.219839027,0.161226329,0.161233711,0.161161262,0,0,6.451477768,-0.209077124,5.771118856,-0.177482588,5.118806239,-0.20759361,0.030441284,5.999353088,-0.009084224,0,0,-1.500534448,-0.006706,7.500018779,0.00208399,,0,5.999353088,-0.009084224,0,4.499081054,-0.00782112,0,3.000781179,-0.016546007,0
1771193830,-0.463261403,-0.227575343,0.212436598,-0.527554857,-0.197994445,0.159129672,-0.600465335,-0.235262781,0.140688679,-0.015138745,0.212436598,-0.320307365,0.173571826,0.159129672,0.012615918,0.276992168,0.140688679,0.128238384,-2.719466101,-1.553238964,0.77830966,-1.654271666,-0.666212526,0.013593739,-1.64215594,-0.617321834,-0.012423808,-2.576143837,-1.349308284,0.323549413,-0.80681822,-0.329223024,-0.164047536,0.25599835,0.162409225,-0.070044118,-1.50024479,-0.011824223,-1.028020938,-0.235240465,-0.472223852,0.223416242,1,3.073256784,0.16118742,0.161148219,0.16120682,0,0,6.46224873,-0.225491354,5.793865732,-0.195910456,5.154134045,-0.233178791,0.026193142,5.999628433,-0.014017747,0,0,-1.50024479,-0.011824223,7.499680117,-0.007665122,,0,5.999628433,-0.014017747,0,4.498739967,-0.017675113,0,2.999999053,-0.01180938,0
1771193830,-0.467411994,-0.227352547,0.215958342,-0.545205934,-0.202653153,0.164113106,-0.642928665,-0.252001309,0.145556902,-0.011394205,0.215958342,-0.342158612,0.177418295,0.164113106,-0.01843472,0.273627041,0.145556902,0.097980054,-2.465656151,-1.421428802,0.823587074,-1.491665101,-0.593589606,0.014919859,-1.509122552,-0.561843113,-0.009778454,-2.58470576,-1.359248966,0.377675111,-1.167625645,-0.486356492,-0.133750355,-0.514752447,-0.175804985,-0.090318796,-1.49927106,0.004745397,-1.044188824,-0.22322317,-0.455082236,0.227968567,1,3.254645373,0.161212964,0.161163551,0.161233711,0,0,6.467285791,-0.235017668,5.799810126,-0.210318275,5.161753826,-0.25966643,0.028855562,6.000193683,0.011846662,0,0,-1.49927106,0.004745397,7.498815591,0.004129376,,0,6.000193683,0.011846662,0,4.498025772,-0.01634004,0,2.999668203,-0.00782112,0
1771193830,-0.464305537,-0.222915182,0.218952203,-0.54943677,-0.201011849,0.167871125,-0.663726111,-0.25894053,0.150708208,-0.003962978,0.218952203,-0.36062701,0.185811479,0.167871125,-0.041361349,0.278591006,0.150708208,0.065623304,-2.513460944,-1.443276943,0.788363656,-1.524150984,-0.609632644,0.01408264,-1.529599265,-0.571808796,-0.010613081,-2.49749022,-1.309638063,0.339415354,-0.81080458,-0.328805457,-0.158551485,0.094402618,0.087551807,-0.079800658,-1.499363105,0.004203677,-1.047149289,-0.217156248,-0.452213815,0.221359925,1,2.980169966,0.161251881,0.161253309,0.161207937,0,0,6.453295859,-0.218785805,5.765047099,-0.196882473,5.105568911,-0.254811153,0.024791718,5.999632871,0.003971511,0,0,-1.499363105,0.004203677,7.499057339,0.005758934,,0,5.999632871,0.003971511,0,4.498100846,0.003299747,0,2.999491687,-0.011669971,0
