throttle,velocity,velocity_std,segment_idx
0.05,0.14815114411474367,0.09565076996206663,0
0.06,0.28673126974128865,0.009359830397291762,1
0.07,0.3263976153580877,0.026169927407768263,2
0.08,0.35546985717233814,0.009576858410594302,3
0.09,0.3977828298012801,0.023370980253087887,4
0.1,0.4230981019909673,0.007565903375469741,5
0.11,0.46677046061396504,0.020498364617054576,6
0.12,0.4881010921591154,0.008532809977653575,7
0.13,0.5349707700282144,0.017405132783994783,8
0.15,0.5599188547427465,0.009313677286977518,9
0.16,0.6065315506076021,0.022924694091937335,10
0.17,0.6229496050586133,0.008419882140506,11
0.18,0.671202790091397,0.018521202119891705,12
